Event Title,Event Type,Date Time,Country,City,Infrastructure Affected,Severity,Latitude,Longitude,Url,Description
UNITED KINGDOM - 2 Poultry Workers In UK Test Positive For Bird Flu,Avian Flu H7N9 / H5N1 / H5N2 / H7N1 / H7N3 / H7N7 / H5N8,2023-05-17 11:42:16,UK (United Kingdom),"London, UK",Unknown,Unknown,51.5072180,-0.1275860,https://www.republicworld.com/world-news/uk-news/two-poultry-workers-in-uk-test-positive-for-bird-flu-articleshow.html,"[Associated Press Television News] UNITED KINGDOM - Two Poultry Workers In UK Test Positive For Bird Flu
""The two are the first humans to test positive for the virus in the U.K. since the agency announced a case of a 79-year-old English man who was infected after allowing ducks into his home.""
Read the full article:
https://www.republicworld.com/world-news/uk-news/two-poultry-workers-in-uk-test-positive-for-bird-flu-articleshow.html
 "
BRAZIL - Brazil Confirms First Ever Avian Flu Cases In Wild Birds,Avian Flu,2023-05-16 10:24:57,BR (Brazil),"Espírito Santo, Brazil",Unknown,Severe,-19.1834230,-40.3088630,https://www.hindustantimes.com/world-news/avian-flu-brazil-confirms-first-ever-avian-flu-cases-in-wild-birds-what-this-means-101684198727540.html,"[Reuters] BRAZIL - Brazil confirms first ever avian flu cases in wild birds: What this means
""Brazil, the world's top chicken exporter, has for the first time confirmed Highly Pathogenic Avian Influenza (HPAI) cases but only in wild birds, the Agriculture Ministry said on Monday.""
Read the full article:
https://www.hindustantimes.com/world-news/avian-flu-brazil-confirms-first-ever-avian-flu-cases-in-wild-birds-what-this-means-101684198727540.html
 "
CANADA - Few Avian Flu Cases Found In Western Canada,Avian Flu,2023-05-15 16:09:18,CA (Canada),"Fraser Valley, BC, Canada",Unknown,Severe,49.3764100,-121.8159310,https://www.sasktoday.ca/north/agriculture/few-avian-flu-cases-found-in-western-canada-6998880,"[sasktoday.ca] CANADA  - Few avian flu cases found in Western Canada
""Two cases have been reported in Western Canada at the end of the first week of May, only one of which has impacted a commercial poultry operation in British Columbia’s Fraser Valley.""
Read the full article:
https://www.sasktoday.ca/north/agriculture/few-avian-flu-cases-found-in-western-canada-6998880
 "
LUXEMBOURG - 3 New Cases Of Avian Flu Detected In Remerschen,Avian Flu H7N9 / H5N1 / H5N2 / H7N1 / H7N3 / H7N7 / H5N8,2023-05-15 16:05:07,LU (Luxembourg),Remerschen,Unknown,Severe,49.4877690,6.3512480,https://today.rtl.lu/news/luxembourg/a/2062944.html,"[RTL] LUXEMBOURG - Three new cases of avian flu detected in Remerschen
""The Ministry of Agriculture, Viticulture and Rural Development released a statement on Monday to announce that three new cases of avian flu were recently detected in Remerschen.""
Read the full article:
https://today.rtl.lu/news/luxembourg/a/2062944.html
 "
CHINA - First H3N8 Bird Flu Death Recorded In China,Avian Flu,2023-05-15 15:36:02,CN (China),"Guangdong, China",Unknown,Severe,23.1317100,113.2662700,https://www.arabnews.com/node/2285166/world,"[AFP] CHINA - First H3N8 bird flu death recorded in China
""She fell ill on February 22, was hospitalised for severe pneumonia on March 3 and died on March 16, the WHO said.""
Read the full article:
https://www.arabnews.com/node/2285166/world"
SOUTH DAKOTA - Avian Influenza Outbreak Continues Across The Country,Avian Flu,2023-05-15 15:10:16,US (United States),"Brookings, SD, USA",Unknown,Severe,44.3113570,-96.7983880,https://www.agweek.com/business/avian-influenza-outbreak-continues-across-the-country,"[agweek.com] SOUTH DAKOTA - Avian influenza outbreak continues across the country
""The avian influenza outbreak continues to impact birds across the country.""
Read the full article:
https://www.agweek.com/business/avian-influenza-outbreak-continues-across-the-country
 "
CANADA - Quebec Avian Flu Cases Higher Than Expected As Bird Deaths Near 1 Million,Avian Flu,2023-05-14 15:08:14,CA (Canada),"Rimouski, QC, Canada",Unknown,Severe,48.4389800,-68.5349700,https://www.terracestandard.com/news/quebec-avian-flu-cases-higher-than-expected-as-bird-deaths-near-1-million-expert/,"[THE CANADIAN PRESS] CANADA - Quebec avian flu cases higher than expected as bird deaths near 1 million: expert
""Poultry farmers in Quebec are grappling with a series of outbreaks of deadly avian flu, as the number of birds that have died or been euthanized due to the disease since early last year nears the one million mark.""
Read the full article:
https://www.terracestandard.com/news/quebec-avian-flu-cases-higher-than-expected-as-bird-deaths-near-1-million-expert/
 "
ESTONIA - New Case Of Avian Flu Detected In Deceased Black-Headed Gull,Avian Flu,2023-05-13 05:48:19,EE (Estonia),"Rapla County, Estonia",Unknown,Severe,58.8492630,24.7346570,https://news.err.ee/1608976673/new-case-of-avian-flu-detected-in-deceased-black-headed-gull,"[ERR] ESTONIA - New case of avian flu detected in deceased black-headed gull
""A fresh case of avian flu has been detected in Estonia after a dead black-headed gull was found to be infected with the virus. The case is the first involving a wild bird in over a year.""
Read the full article:
https://news.err.ee/1608976673/new-case-of-avian-flu-detected-in-deceased-black-headed-gull
 "
UNITED KINGDOM - Bird Flu Confirmed At Priory Country Park,Avian Flu,2023-05-12 18:56:44,UK (United Kingdom),"Priory County Park, Bedford",Unknown,Severe,52.1307330,-0.4321150,https://www.bedfordindependent.co.uk/bird-flu-confirmed-at-priory-country-park/,"[Bedford Independent] UNITED KINGDOM - Bird Flu confirmed at Priory Country Park
""It has been confirmed that bird flu has been found at Priory County Park, Bedford after over 100 Black-headed Gulls were found dead at the nature reserve in the last few weeks.""
Read the full article:
https://www.bedfordindependent.co.uk/bird-flu-confirmed-at-priory-country-park/
 "
FRANCE - France Tightens Bird Flu Measures In Southwest After New Outbreaks,Avian Flu,2023-05-12 18:46:39,FR (France),Paris,Unknown,Severe,48.8566140,2.3522220,https://theprint.in/environment/france-tightens-bird-flu-measures-in-southwest-after-new-outbreaks/1571327/,"[Reuters] FRANCE - France tightens bird flu measures in southwest after new outbreaks
"" France has reinforced sanitary measures to curb a wave of bird flu cases on duck farms in the southwest, where it has broken a recent lull in outbreaks, the French agriculture ministry said on Friday.""
Read the full article:
https://theprint.in/environment/france-tightens-bird-flu-measures-in-southwest-after-new-outbreaks/1571327/
 "
